Logging to data/tb_logs/20260804_061817
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 364      |
|    ep_rew_mean     | 34.3     |
| time/              |          |
|    fps             | 14952    |
|    iterations      | 1        |
|    time_elapsed    | 8        |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 738          |
|    ep_rew_mean          | 42.2         |
| time/                   |              |
|    fps                  | 12448        |
|    iterations           | 2            |
|    time_elapsed         | 21           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0035542143 |
|    clip_fraction        | 0.148        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.8         |
|    explained_variance   | -0.33        |
|    learning_rate        | 1e-05        |
|    loss                 | 5.37         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00107     |
|    std                  | 0.0502       |
|    value_loss           | 3.14         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 557          |
|    ep_rew_mean          | 24.7         |
| time/                   |              |
|    fps                  | 11906        |
|    iterations           | 3            |
|    time_elapsed         | 33           |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0032347953 |
|    clip_fraction        | 0.133        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.6         |
|    explained_variance   | -0.957       |
|    learning_rate        | 1e-05        |
|    loss                 | 3.18         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00165     |
|    std                  | 0.0506       |
|    value_loss           | 1.29         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 580          |
|    ep_rew_mean          | 24.9         |
| time/                   |              |
|    fps                  | 11662        |
|    iterations           | 4            |
|    time_elapsed         | 44           |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0031567481 |
|    clip_fraction        | 0.133        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.4         |
|    explained_variance   | -0.642       |
|    learning_rate        | 1e-05        |
|    loss                 | 3.09         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0017      |
|    std                  | 0.051        |
|    value_loss           | 1.25         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 592          |
|    ep_rew_mean          | 25.4         |
| time/                   |              |
|    fps                  | 11535        |
|    iterations           | 5            |
|    time_elapsed         | 56           |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0032035476 |
|    clip_fraction        | 0.133        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.3         |
|    explained_variance   | -0.0712      |
|    learning_rate        | 1e-05        |
|    loss                 | 2.92         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00185     |
|    std                  | 0.0514       |
|    value_loss           | 1.08         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 525         |
|    ep_rew_mean          | 22.6        |
| time/                   |             |
|    fps                  | 11420       |
|    iterations           | 6           |
|    time_elapsed         | 68          |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.003367756 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.1        |
|    explained_variance   | -0.0481     |
|    learning_rate        | 1e-05       |
|    loss                 | 2.83        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00222    |
|    std                  | 0.0518      |
|    value_loss           | 1           |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 550          |
|    ep_rew_mean          | 23.7         |
| time/                   |              |
|    fps                  | 11376        |
|    iterations           | 7            |
|    time_elapsed         | 80           |
|    total_timesteps      | 917504       |
| train/                  |              |
|    approx_kl            | 0.0032486925 |
|    clip_fraction        | 0.135        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 36.9         |
|    explained_variance   | 0.121        |
|    learning_rate        | 1e-05        |
|    loss                 | 2.74         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00194     |
