Logging to data/tb_logs/20260804_160500
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 384      |
|    ep_rew_mean     | 35.7     |
| time/              |          |
|    fps             | 14860    |
|    iterations      | 1        |
|    time_elapsed    | 8        |
|    total_timesteps | 131072   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 560         |
|    ep_rew_mean          | 26          |
| time/                   |             |
|    fps                  | 12507       |
|    iterations           | 2           |
|    time_elapsed         | 20          |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.003562449 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.8        |
|    explained_variance   | -0.126      |
|    learning_rate        | 1e-05       |
|    loss                 | 5.49        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0011     |
|    std                  | 0.0502      |
|    value_loss           | 2.85        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 473          |
|    ep_rew_mean          | 19.9         |
| time/                   |              |
|    fps                  | 11968        |
|    iterations           | 3            |
|    time_elapsed         | 32           |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0032343464 |
|    clip_fraction        | 0.131        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.6         |
|    explained_variance   | -1.22        |
|    learning_rate        | 1e-05        |
|    loss                 | 2.98         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00232     |
|    std                  | 0.0506       |
|    value_loss           | 1.18         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 529          |
|    ep_rew_mean          | 22.2         |
| time/                   |              |
|    fps                  | 11746        |
|    iterations           | 4            |
|    time_elapsed         | 44           |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0032965718 |
|    clip_fraction        | 0.132        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.4         |
|    explained_variance   | -0.548       |
|    learning_rate        | 1e-05        |
|    loss                 | 2.9          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00225     |
|    std                  | 0.051        |
|    value_loss           | 1.06         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 530          |
|    ep_rew_mean          | 21.9         |
| time/                   |              |
|    fps                  | 11602        |
|    iterations           | 5            |
|    time_elapsed         | 56           |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0032558765 |
|    clip_fraction        | 0.133        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.2         |
|    explained_variance   | -0.215       |
|    learning_rate        | 1e-05        |
|    loss                 | 2.81         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00214     |
|    std                  | 0.0514       |
|    value_loss           | 0.97         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 483          |
|    ep_rew_mean          | 20           |
| time/                   |              |
|    fps                  | 11478        |
|    iterations           | 6            |
|    time_elapsed         | 68           |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0032514567 |
|    clip_fraction        | 0.134        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.1         |
|    explained_variance   | 0.0642       |
|    learning_rate        | 1e-05        |
|    loss                 | 2.74         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00218     |
|    std                  | 0.0519       |
|    value_loss           | 0.859        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 516          |
|    ep_rew_mean          | 21.7         |
| time/                   |              |
|    fps                  | 11392        |
|    iterations           | 7            |
|    time_elapsed         | 80           |
|    total_timesteps      | 917504       |
| train/                  |              |
|    approx_kl            | 0.0032228443 |
|    clip_fraction        | 0.13         |
|    clip_range           | 0.1          |
