Logging to ./data/gamma4/tb
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 381      |
|    ep_rew_mean     | 17.1     |
| time/              |          |
|    fps             | 2719     |
|    iterations      | 1        |
|    time_elapsed    | 48       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 366          |
|    ep_rew_mean          | 17.9         |
| time/                   |              |
|    fps                  | 2254         |
|    iterations           | 2            |
|    time_elapsed         | 116          |
|    total_timesteps      | 262144       |
| train/                  |              |
|    adaptive_lr          | 1.5e-05      |
|    approx_kl            | 0.0018525755 |
|    clip_fraction        | 0.0738       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 22.9         |
|    explained_variance   | 0.656        |
|    learning_rate        | 1e-05        |
|    loss                 | 2.14         |
|    n_updates            | 3070         |
|    policy_gradient_loss | -0.00672     |
|    std                  | 0.097        |
|    value_loss           | 2.13         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 366          |
|    ep_rew_mean          | 18.8         |
| time/                   |              |
|    fps                  | 2097         |
|    iterations           | 3            |
|    time_elapsed         | 187          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    adaptive_lr          | 2.25e-05     |
|    approx_kl            | 0.0023075857 |
|    clip_fraction        | 0.104        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 22.8         |
|    explained_variance   | 0.575        |
|    learning_rate        | 1.5e-05      |
|    loss                 | 3.43         |
|    n_updates            | 3080         |
|    policy_gradient_loss | -0.00422     |
|    std                  | 0.0973       |
|    value_loss           | 3.31         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 368          |
|    ep_rew_mean          | 18.6         |
| time/                   |              |
|    fps                  | 2029         |
|    iterations           | 4            |
|    time_elapsed         | 258          |
|    total_timesteps      | 524288       |
| train/                  |              |
|    adaptive_lr          | 3.38e-05     |
|    approx_kl            | 0.0030418066 |
|    clip_fraction        | 0.143        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 22.7         |
|    explained_variance   | 0.626        |
|    learning_rate        | 2.25e-05     |
|    loss                 | 2.8          |
|    n_updates            | 3090         |
|    policy_gradient_loss | -0.00632     |
|    std                  | 0.0976       |
|    value_loss           | 2.61         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 333         |
|    ep_rew_mean          | 16.9        |
| time/                   |             |
|    fps                  | 1985        |
|    iterations           | 5           |
|    time_elapsed         | 330         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.004141735 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 22.6        |
|    explained_variance   | 0.705       |
|    learning_rate        | 3.38e-05    |
|    loss                 | 2.85        |
|    n_updates            | 3100        |
|    policy_gradient_loss | -0.00607    |
|    std                  | 0.0979      |
|    value_loss           | 2.39        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 336          |
|    ep_rew_mean          | 17.4         |
| time/                   |              |
|    fps                  | 1959         |
|    iterations           | 6            |
|    time_elapsed         | 401          |
|    total_timesteps      | 786432       |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0057732896 |
|    clip_fraction        | 0.265        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 22.5         |
|    explained_variance   | 0.685        |
|    learning_rate        | 5e-05        |
|    loss                 | 2.83         |
|    n_updates            | 3110         |
|    policy_gradient_loss | -0.0042      |
|    std                  | 0.0983       |
|    value_loss           | 2.46         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 394          |
|    ep_rew_mean          | 20           |
| time/                   |              |
|    fps                  | 1942         |
|    iterations           | 7            |
|    time_elapsed         | 472          |
|    total_timesteps      | 917504       |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0054259533 |
|    clip_fraction        | 0.264        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 22.5         |
|    explained_variance   | 0.715        |
|    learning_rate        | 5e-05        |
|    loss                 | 2.84         |
|    n_updates            | 3120         |
|    policy_gradient_loss | -0.00281     |
|    std                  | 0.0987       |
|    value_loss           | 2.35         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 404         |
|    ep_rew_mean          | 19.9        |
| time/                   |             |
|    fps                  | 1932        |
|    iterations           | 8           |
|    time_elapsed         | 542         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005719714 |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 22.4        |
|    explained_variance   | 0.753       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.85        |
|    n_updates            | 3130        |
|    policy_gradient_loss | -0.0042     |
|    std                  | 0.099       |
|    value_loss           | 1.61        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 367         |
|    ep_rew_mean          | 18          |
| time/                   |             |
|    fps                  | 1920        |
|    iterations           | 9           |
|    time_elapsed         | 614         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005676713 |
|    clip_fraction        | 0.27        |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 22.3        |
|    explained_variance   | 0.768       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.63        |
|    n_updates            | 3140        |
|    policy_gradient_loss | -0.00373    |
|    std                  | 0.0993      |
|    value_loss           | 1.59        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 368          |
|    ep_rew_mean          | 18.6         |
| time/                   |              |
|    fps                  | 1907         |
|    iterations           | 10           |
|    time_elapsed         | 687          |
|    total_timesteps      | 1310720      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0059278877 |
|    clip_fraction        | 0.268        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 22.2         |
|    explained_variance   | 0.807        |
|    learning_rate        | 5e-05        |
|    loss                 | 1.68         |
|    n_updates            | 3150         |
|    policy_gradient_loss | -0.00461     |
|    std                  | 0.0997       |
|    value_loss           | 1.51         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 347         |
|    ep_rew_mean          | 17.1        |
| time/                   |             |
|    fps                  | 1894        |
|    iterations           | 11          |
|    time_elapsed         | 761         |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005691874 |
|    clip_fraction        | 0.271       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 22.1        |
|    explained_variance   | 0.798       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.46        |
|    n_updates            | 3160        |
|    policy_gradient_loss | -0.0037     |
|    std                  | 0.1         |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 362         |
|    ep_rew_mean          | 18.6        |
| time/                   |             |
|    fps                  | 1891        |
|    iterations           | 12          |
|    time_elapsed         | 831         |
|    total_timesteps      | 1572864     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005701514 |
|    clip_fraction        | 0.271       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 22          |
|    explained_variance   | 0.824       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.73        |
|    n_updates            | 3170        |
|    policy_gradient_loss | -0.00344    |
|    std                  | 0.1         |
|    value_loss           | 1.43        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 358          |
|    ep_rew_mean          | 18.3         |
| time/                   |              |
|    fps                  | 1888         |
|    iterations           | 13           |
|    time_elapsed         | 902          |
|    total_timesteps      | 1703936      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0055714473 |
|    clip_fraction        | 0.275        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 21.9         |
|    explained_variance   | 0.807        |
|    learning_rate        | 5e-05        |
|    loss                 | 1.55         |
|    n_updates            | 3180         |
|    policy_gradient_loss | -0.00303     |
|    std                  | 0.101        |
|    value_loss           | 1.4          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 365         |
|    ep_rew_mean          | 19.1        |
| time/                   |             |
|    fps                  | 1886        |
|    iterations           | 14          |
|    time_elapsed         | 972         |
|    total_timesteps      | 1835008     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005389824 |
|    clip_fraction        | 0.267       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 21.8        |
|    explained_variance   | 0.807       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.75        |
|    n_updates            | 3190        |
|    policy_gradient_loss | -0.00187    |
|    std                  | 0.101       |
|    value_loss           | 1.39        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 356          |
|    ep_rew_mean          | 17.9         |
| time/                   |              |
|    fps                  | 1885         |
|    iterations           | 15           |
|    time_elapsed         | 1042         |
|    total_timesteps      | 1966080      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0053095305 |
|    clip_fraction        | 0.273        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 21.8         |
|    explained_variance   | 0.81         |
|    learning_rate        | 5e-05        |
|    loss                 | 1.55         |
|    n_updates            | 3200         |
|    policy_gradient_loss | -0.000975    |
|    std                  | 0.101        |
|    value_loss           | 1.35         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 349         |
|    ep_rew_mean          | 17.9        |
| time/                   |             |
|    fps                  | 1884        |
|    iterations           | 16          |
|    time_elapsed         | 1112        |
|    total_timesteps      | 2097152     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005370925 |
|    clip_fraction        | 0.273       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 21.7        |
|    explained_variance   | 0.816       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.73        |
|    n_updates            | 3210        |
|    policy_gradient_loss | -0.000843   |
|    std                  | 0.102       |
|    value_loss           | 1.46        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 346         |
|    ep_rew_mean          | 17.6        |
| time/                   |             |
|    fps                  | 1883        |
|    iterations           | 17          |
|    time_elapsed         | 1182        |
|    total_timesteps      | 2228224     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.005349247 |
|    clip_fraction        | 0.276       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 21.6        |
|    explained_variance   | 0.795       |
|    learning_rate        | 5e-05       |
|    loss                 | 1.6         |
|    n_updates            | 3220        |
|    policy_gradient_loss | -0.000514   |
|    std                  | 0.102       |
|    value_loss           | 1.41        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 358          |
|    ep_rew_mean          | 17.8         |
| time/                   |              |
|    fps                  | 1883         |
|    iterations           | 18           |
|    time_elapsed         | 1252         |
|    total_timesteps      | 2359296      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0054799407 |
|    clip_fraction        | 0.28         |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 21.5         |
|    explained_variance   | 0.834        |
|    learning_rate        | 5e-05        |
|    loss                 | 1.58         |
|    n_updates            | 3230         |
|    policy_gradient_loss | -0.000816    |
|    std                  | 0.102        |
|    value_loss           | 1.33         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 362          |
|    ep_rew_mean          | 18.7         |
| time/                   |              |
|    fps                  | 1883         |
|    iterations           | 19           |
|    time_elapsed         | 1321         |
|    total_timesteps      | 2490368      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0053691184 |
|    clip_fraction        | 0.272        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 21.4         |
|    explained_variance   | 0.823        |
|    learning_rate        | 5e-05        |
|    loss                 | 1.44         |
|    n_updates            | 3240         |
|    policy_gradient_loss | -0.000356    |
|    std                  | 0.103        |
|    value_loss           | 1.25         |
------------------------------------------
------------------------------------------
| rollout/                |              |
