Logging to runs_csv/20251019_100311
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 937      |
|    ep_rew_mean     | 22.2     |
| time/              |          |
|    fps             | 7603     |
|    iterations      | 1        |
|    time_elapsed    | 17       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 822          |
|    ep_rew_mean          | 15.6         |
| time/                   |              |
|    fps                  | 7512         |
|    iterations           | 2            |
|    time_elapsed         | 34           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0063854195 |
|    clip_fraction        | 0.0199       |
|    clip_range           | 0.3          |
|    clip_range_vf        | 0.3          |
|    entropy_loss         | 8.72         |
|    explained_variance   | -0.379       |
|    learning_rate        | 0.0001       |
|    loss                 | 0.773        |
|    n_updates            | 1            |
|    policy_gradient_loss | -0.00192     |
|    std                  | 0.135        |
|    value_loss           | 0.949        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 785         |
|    ep_rew_mean          | 10.9        |
| time/                   |             |
|    fps                  | 7528        |
|    iterations           | 3           |
|    time_elapsed         | 52          |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.004805859 |
|    clip_fraction        | 0.0124      |
|    clip_range           | 0.3         |
|    clip_range_vf        | 0.3         |
|    entropy_loss         | 8.71        |
|    explained_variance   | 0.159       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.493       |
|    n_updates            | 2           |
|    policy_gradient_loss | -0.00159    |
|    std                  | 0.135       |
|    value_loss           | 0.5         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 808          |
|    ep_rew_mean          | 10.6         |
| time/                   |              |
|    fps                  | 7509         |
|    iterations           | 4            |
|    time_elapsed         | 69           |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0046750605 |
|    clip_fraction        | 0.0126       |
|    clip_range           | 0.3          |
|    clip_range_vf        | 0.3          |
|    entropy_loss         | 8.71         |
|    explained_variance   | 0.549        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.337        |
|    n_updates            | 3            |
|    policy_gradient_loss | -0.00243     |
|    std                  | 0.135        |
|    value_loss           | 0.312        |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 741        |
|    ep_rew_mean          | 9.29       |
| time/                   |            |
|    fps                  | 7496       |
|    iterations           | 5          |
|    time_elapsed         | 87         |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.00682661 |
|    clip_fraction        | 0.0257     |
|    clip_range           | 0.3        |
|    clip_range_vf        | 0.3        |
|    entropy_loss         | 8.71       |
|    explained_variance   | 0.712      |
|    learning_rate        | 0.0001     |
|    loss                 | 0.268      |
|    n_updates            | 4          |
|    policy_gradient_loss | 0.00118    |
|    std                  | 0.135      |
|    value_loss           | 0.241      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 714          |
|    ep_rew_mean          | 8.9          |
| time/                   |              |
|    fps                  | 7408         |
|    iterations           | 6            |
|    time_elapsed         | 106          |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0048602177 |
|    clip_fraction        | 0.0137       |
|    clip_range           | 0.3          |
|    clip_range_vf        | 0.3          |
|    entropy_loss         | 8.7          |
|    explained_variance   | 0.796        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.259        |
|    n_updates            | 5            |
|    policy_gradient_loss | 0.000782     |
|    std                  | 0.135        |
|    value_loss           | 0.245        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 721          |
|    ep_rew_mean          | 9.72         |
| time/                   |              |
|    fps                  | 7403         |
|    iterations           | 7            |
|    time_elapsed         | 123          |
|    total_timesteps      | 917504       |
| train/                  |              |
|    approx_kl            | 0.0064140433 |
|    clip_fraction        | 0.0239       |
|    clip_range           | 0.3          |
|    clip_range_vf        | 0.3          |
|    entropy_loss         | 8.7          |
|    explained_variance   | 0.815        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.303        |
|    n_updates            | 6            |
|    policy_gradient_loss | 0.000804     |
|    std                  | 0.136        |
|    value_loss           | 0.229        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 743         |
|    ep_rew_mean          | 11.4        |
| time/                   |             |
|    fps                  | 7355        |
|    iterations           | 8           |
|    time_elapsed         | 142         |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.005517865 |
|    clip_fraction        | 0.0172      |
|    clip_range           | 0.3         |
|    clip_range_vf        | 0.3         |
|    entropy_loss         | 8.69        |
|    explained_variance   | 0.822       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.31        |
|    n_updates            | 7           |
|    policy_gradient_loss | -6.44e-05   |
|    std                  | 0.136       |
|    value_loss           | 0.225       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 732         |
|    ep_rew_mean          | 12.7        |
| time/                   |             |
|    fps                  | 7328        |
|    iterations           | 9           |
|    time_elapsed         | 160         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    approx_kl            | 0.005025532 |
|    clip_fraction        | 0.0163      |
|    clip_range           | 0.3         |
|    clip_range_vf        | 0.3         |
|    entropy_loss         | 8.69        |
|    explained_variance   | 0.823       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.304       |
|    n_updates            | 8           |
|    policy_gradient_loss | -0.000507   |
|    std                  | 0.136       |
|    value_loss           | 0.228       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 728         |
|    ep_rew_mean          | 14          |
| time/                   |             |
|    fps                  | 7272        |
|    iterations           | 10          |
|    time_elapsed         | 180         |
|    total_timesteps      | 1310720     |
| train/                  |             |
|    approx_kl            | 0.006351859 |
|    clip_fraction        | 0.0188      |
|    clip_range           | 0.3         |
|    clip_range_vf        | 0.3         |
|    entropy_loss         | 8.69        |
|    explained_variance   | 0.841       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.272       |
|    n_updates            | 9           |
|    policy_gradient_loss | -0.00202    |
|    std                  | 0.136       |
|    value_loss           | 0.27        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 757          |
|    ep_rew_mean          | 15.9         |
| time/                   |              |
|    fps                  | 7247         |
|    iterations           | 11           |
|    time_elapsed         | 198          |
|    total_timesteps      | 1441792      |
| train/                  |              |
|    approx_kl            | 0.0058424277 |
|    clip_fraction        | 0.0213       |
|    clip_range           | 0.3          |
|    clip_range_vf        | 0.3          |
|    entropy_loss         | 8.69         |
|    explained_variance   | 0.832        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.317        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00371     |
|    std                  | 0.136        |
|    value_loss           | 0.284        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 751         |
|    ep_rew_mean          | 17.9        |
| time/                   |             |
|    fps                  | 7242        |
|    iterations           | 12          |
|    time_elapsed         | 217         |
|    total_timesteps      | 1572864     |
| train/                  |             |
|    approx_kl            | 0.005040195 |
|    clip_fraction        | 0.0175      |
|    clip_range           | 0.3         |
