Logging to data/tb_logs/20260224_083951
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 339      |
|    ep_rew_mean     | 10.4     |
| time/              |          |
|    fps             | 15548    |
|    iterations      | 1        |
|    time_elapsed    | 8        |
|    total_timesteps | 131072   |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 927           |
|    ep_rew_mean          | 35.9          |
| time/                   |               |
|    fps                  | 13099         |
|    iterations           | 2             |
|    time_elapsed         | 20            |
|    total_timesteps      | 262144        |
| train/                  |               |
|    approx_kl            | 1.1363205e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 3.63          |
|    explained_variance   | 0.927         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.491         |
|    n_updates            | 4600          |
|    policy_gradient_loss | -0.000141     |
|    std                  | 0.208         |
|    value_loss           | 0.321         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 627           |
|    ep_rew_mean          | 22.9          |
| time/                   |               |
|    fps                  | 12698         |
|    iterations           | 3             |
|    time_elapsed         | 30            |
|    total_timesteps      | 393216        |
| train/                  |               |
|    approx_kl            | 1.3205437e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 3.62          |
|    explained_variance   | 0.825         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.91          |
|    n_updates            | 4610          |
|    policy_gradient_loss | -0.000126     |
|    std                  | 0.208         |
|    value_loss           | 0.587         |
-------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 746            |
|    ep_rew_mean          | 28.3           |
| time/                   |                |
|    fps                  | 12467          |
|    iterations           | 4              |
|    time_elapsed         | 42             |
|    total_timesteps      | 524288         |
| train/                  |                |
|    approx_kl            | 1.50135165e-05 |
|    clip_fraction        | 0              |
|    clip_range           | 0.1            |
|    clip_range_vf        | 0.2            |
|    entropy_loss         | 3.62           |
|    explained_variance   | 0.865          |
|    learning_rate        | 1e-07          |
|    loss                 | 0.67           |
|    n_updates            | 4620           |
|    policy_gradient_loss | -0.000127      |
|    std                  | 0.208          |
|    value_loss           | 0.564          |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 587           |
|    ep_rew_mean          | 21.6          |
| time/                   |               |
|    fps                  | 12258         |
|    iterations           | 5             |
|    time_elapsed         | 53            |
|    total_timesteps      | 655360        |
| train/                  |               |
|    approx_kl            | 1.4342731e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 3.62          |
|    explained_variance   | 0.843         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.797         |
|    n_updates            | 4630          |
|    policy_gradient_loss | -0.000134     |
|    std                  | 0.208         |
|    value_loss           | 0.561         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 577          |
|    ep_rew_mean          | 20.1         |
| time/                   |              |
|    fps                  | 12127        |
|    iterations           | 6            |
|    time_elapsed         | 64           |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 2.461109e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 3.62         |
|    explained_variance   | 0.835        |
|    learning_rate        | 1e-07        |
|    loss                 | 0.728        |
|    n_updates            | 4640         |
|    policy_gradient_loss | -0.000148    |
|    std                  | 0.208        |
|    value_loss           | 0.674        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 669           |
|    ep_rew_mean          | 23.7          |
| time/                   |               |
|    fps                  | 12097         |
|    iterations           | 7             |
|    time_elapsed         | 75            |
|    total_timesteps      | 917504        |
| train/                  |               |
|    approx_kl            | 1.1307878e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 3.61          |
|    explained_variance   | 0.875         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.786         |
|    n_updates            | 4650          |
|    policy_gradient_loss | -0.000129     |
|    std                  | 0.208         |
|    value_loss           | 0.553         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 589           |
|    ep_rew_mean          | 19.7          |
| time/                   |               |
|    fps                  | 12029         |
|    iterations           | 8             |
|    time_elapsed         | 87            |
|    total_timesteps      | 1048576       |
| train/                  |               |
|    approx_kl            | 1.2823806e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 3.61          |
|    explained_variance   | 0.865         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.722         |
|    n_updates            | 4660          |
|    policy_gradient_loss | -0.000125     |
|    std                  | 0.208         |
|    value_loss           | 0.557         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 624           |
|    ep_rew_mean          | 21.7          |
| time/                   |               |
|    fps                  | 11930         |
|    iterations           | 9             |
|    time_elapsed         | 98            |
|    total_timesteps      | 1179648       |
| train/                  |               |
|    approx_kl            | 1.0210542e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 3.61          |
|    explained_variance   | 0.881         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.754         |
|    n_updates            | 4670          |
|    policy_gradient_loss | -0.000123     |
|    std                  | 0.208         |
|    value_loss           | 0.535         |
-------------------------------------------
