Logging to data/tb_logs/20260224_075503
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 322      |
|    ep_rew_mean     | 9.35     |
| time/              |          |
|    fps             | 16265    |
|    iterations      | 1        |
|    time_elapsed    | 8        |
|    total_timesteps | 131072   |
---------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | 38.1          |
| time/                   |               |
|    fps                  | 13526         |
|    iterations           | 2             |
|    time_elapsed         | 19            |
|    total_timesteps      | 262144        |
| train/                  |               |
|    approx_kl            | 1.1853608e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 4.09          |
|    explained_variance   | 0.935         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.499         |
|    n_updates            | 3070          |
|    policy_gradient_loss | -0.000145     |
|    std                  | 0.204         |
|    value_loss           | 0.289         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 581           |
|    ep_rew_mean          | 20.7          |
| time/                   |               |
|    fps                  | 12915         |
|    iterations           | 3             |
|    time_elapsed         | 30            |
|    total_timesteps      | 393216        |
| train/                  |               |
|    approx_kl            | 1.2154281e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 4.09          |
|    explained_variance   | 0.833         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.961         |
|    n_updates            | 3080          |
|    policy_gradient_loss | -0.000121     |
|    std                  | 0.204         |
|    value_loss           | 0.622         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 755           |
|    ep_rew_mean          | 28.2          |
| time/                   |               |
|    fps                  | 12683         |
|    iterations           | 4             |
|    time_elapsed         | 41            |
|    total_timesteps      | 524288        |
| train/                  |               |
|    approx_kl            | 1.0344058e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 4.08          |
|    explained_variance   | 0.87          |
|    learning_rate        | 1e-07         |
|    loss                 | 0.627         |
|    n_updates            | 3090          |
|    policy_gradient_loss | -0.000118     |
|    std                  | 0.204         |
|    value_loss           | 0.518         |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 633           |
|    ep_rew_mean          | 22.7          |
| time/                   |               |
|    fps                  | 12483         |
|    iterations           | 5             |
|    time_elapsed         | 52            |
|    total_timesteps      | 655360        |
| train/                  |               |
|    approx_kl            | 1.7879898e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 4.08          |
|    explained_variance   | 0.851         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.828         |
|    n_updates            | 3100          |
|    policy_gradient_loss | -0.000145     |
|    std                  | 0.204         |
|    value_loss           | 0.569         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 653          |
|    ep_rew_mean          | 22.9         |
| time/                   |              |
|    fps                  | 12363        |
|    iterations           | 6            |
|    time_elapsed         | 63           |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 2.316881e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 4.08         |
|    explained_variance   | 0.862        |
|    learning_rate        | 1e-07        |
|    loss                 | 0.921        |
|    n_updates            | 3110         |
|    policy_gradient_loss | -0.000153    |
|    std                  | 0.204        |
|    value_loss           | 0.587        |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 670           |
|    ep_rew_mean          | 23.3          |
| time/                   |               |
|    fps                  | 12268         |
|    iterations           | 7             |
|    time_elapsed         | 74            |
|    total_timesteps      | 917504        |
| train/                  |               |
|    approx_kl            | 1.4461906e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.1           |
|    clip_range_vf        | 0.2           |
|    entropy_loss         | 4.07          |
|    explained_variance   | 0.872         |
|    learning_rate        | 1e-07         |
|    loss                 | 0.626         |
|    n_updates            | 3120          |
|    policy_gradient_loss | -0.000143     |
|    std                  | 0.204         |
|    value_loss           | 0.538         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 516          |
|    ep_rew_mean          | 16.8         |
| time/                   |              |
|    fps                  | 12243        |
|    iterations           | 8            |
|    time_elapsed         | 85           |
|    total_timesteps      | 1048576      |
| train/                  |              |
