Logging to data/beta2/20260825_stage2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 296      |
|    ep_rew_mean     | 10.7     |
| time/              |          |
|    fps             | 4249     |
|    iterations      | 1        |
|    time_elapsed    | 30       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | 43.7         |
| time/                   |              |
|    fps                  | 3264         |
|    iterations           | 2            |
|    time_elapsed         | 80           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0016513387 |
|    clip_fraction        | 0.0524       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | -5.21        |
|    explained_variance   | 0.528        |
|    learning_rate        | 5e-06        |
|    loss                 | -0.166       |
|    n_updates            | 3470         |
|    policy_gradient_loss | -0.00254     |
|    std                  | 0.301        |
|    value_loss           | 0.103        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 994          |
|    ep_rew_mean          | 43.4         |
| time/                   |              |
|    fps                  | 3039         |
|    iterations           | 3            |
|    time_elapsed         | 129          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0016851755 |
|    clip_fraction        | 0.0471       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | -5.31        |
|    explained_variance   | 0.243        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.787        |
|    n_updates            | 3480         |
|    policy_gradient_loss | -0.0019      |
|    std                  | 0.303        |
|    value_loss           | 0.953        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | 42.4         |
| time/                   |              |
|    fps                  | 2915         |
|    iterations           | 4            |
|    time_elapsed         | 179          |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0017037585 |
|    clip_fraction        | 0.053        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | -5.42        |
|    explained_variance   | 0.521        |
|    learning_rate        | 5e-06        |
|    loss                 | -0.0797      |
|    n_updates            | 3490         |
|    policy_gradient_loss | -0.00236     |
|    std                  | 0.304        |
|    value_loss           | 0.191        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 995          |
|    ep_rew_mean          | 42.3         |
| time/                   |              |
|    fps                  | 2860         |
|    iterations           | 5            |
|    time_elapsed         | 229          |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0017266874 |
|    clip_fraction        | 0.0514       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | -5.52        |
|    explained_variance   | 0.576        |
|    learning_rate        | 5e-06        |
|    loss                 | 0.793        |
|    n_updates            | 3500         |
|    policy_gradient_loss | -0.00234     |
|    std                  | 0.305        |
|    value_loss           | 0.932        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | 42.7         |
| time/                   |              |
|    fps                  | 2804         |
|    iterations           | 6            |
|    time_elapsed         | 280          |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0019829667 |
|    clip_fraction        | 0.0756       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | -5.63        |
|    explained_variance   | 0.67         |
|    learning_rate        | 5e-06        |
|    loss                 | -0.163       |
|    n_updates            | 3510         |
|    policy_gradient_loss | -0.00314     |
|    std                  | 0.307        |
|    value_loss           | 0.135        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 988          |
|    ep_rew_mean          | 42.3         |
| time/                   |              |
|    fps                  | 2777         |
|    iterations           | 7            |
|    time_elapsed         | 330          |
|    total_timesteps      | 917504       |
| train/                  |              |
|    approx_kl            | 0.0018091358 |
|    clip_fraction        | 0.0536       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | -5.74        |
|    explained_variance   | 0.6          |
|    learning_rate        | 5e-06        |
|    loss                 | 0.746        |
|    n_updates            | 3520         |
|    policy_gradient_loss | -0.00244     |
|    std                  | 0.308        |
|    value_loss           | 1            |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | 43.2         |
| time/                   |              |
|    fps                  | 2746         |
|    iterations           | 8            |
|    time_elapsed         | 381          |
|    total_timesteps      | 1048576      |
| train/                  |              |
