Logging to ./data/gamma1/tb
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 424      |
|    ep_rew_mean     | 37.6     |
| time/              |          |
|    fps             | 3445     |
|    iterations      | 1        |
|    time_elapsed    | 38       |
|    total_timesteps | 131072   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 721         |
|    ep_rew_mean          | 42.6        |
| time/                   |             |
|    fps                  | 2656        |
|    iterations           | 2           |
|    time_elapsed         | 98          |
|    total_timesteps      | 262144      |
| train/                  |             |
|    adaptive_lr          | 1.5e-05     |
|    approx_kl            | 0.002296523 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 39.5        |
|    explained_variance   | -0.0518     |
|    learning_rate        | 1e-05       |
|    loss                 | 3.63        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00132    |
|    std                  | 0.0499      |
|    value_loss           | 2.77        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 551          |
|    ep_rew_mean          | 22.1         |
| time/                   |              |
|    fps                  | 2416         |
|    iterations           | 3            |
|    time_elapsed         | 162          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    adaptive_lr          | 2.25e-05     |
|    approx_kl            | 0.0028442033 |
|    clip_fraction        | 0.144        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.4         |
|    explained_variance   | -0.224       |
|    learning_rate        | 1.5e-05      |
|    loss                 | 1.45         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00241     |
|    std                  | 0.05         |
|    value_loss           | 1.08         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 479          |
|    ep_rew_mean          | 19.3         |
| time/                   |              |
|    fps                  | 2302         |
|    iterations           | 4            |
|    time_elapsed         | 227          |
|    total_timesteps      | 524288       |
| train/                  |              |
|    adaptive_lr          | 3.38e-05     |
|    approx_kl            | 0.0034908494 |
|    clip_fraction        | 0.178        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.4         |
|    explained_variance   | -0.0515      |
|    learning_rate        | 2.25e-05     |
|    loss                 | 1.29         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000858    |
|    std                  | 0.0502       |
|    value_loss           | 0.907        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 483          |
|    ep_rew_mean          | 18.8         |
| time/                   |              |
|    fps                  | 2233         |
|    iterations           | 5            |
|    time_elapsed         | 293          |
|    total_timesteps      | 655360       |
| train/                  |              |
|    adaptive_lr          | 3.38e-05     |
|    approx_kl            | 0.0051223543 |
|    clip_fraction        | 0.25         |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.3         |
|    explained_variance   | 0.184        |
|    learning_rate        | 3.38e-05     |
|    loss                 | 1.18         |
|    n_updates            | 40           |
|    policy_gradient_loss | 0.000802     |
|    std                  | 0.0503       |
|    value_loss           | 0.8          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 541         |
|    ep_rew_mean          | 21.2        |
| time/                   |             |
|    fps                  | 2194        |
|    iterations           | 6           |
|    time_elapsed         | 358         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.004973364 |
|    clip_fraction        | 0.235       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 39.2        |
|    explained_variance   | 0.308       |
|    learning_rate        | 3.38e-05    |
|    loss                 | 1.12        |
|    n_updates            | 50          |
|    policy_gradient_loss | 0.000989    |
|    std                  | 0.0505      |
|    value_loss           | 0.749       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 467          |
|    ep_rew_mean          | 18.4         |
| time/                   |              |
|    fps                  | 2159         |
|    iterations           | 7            |
|    time_elapsed         | 424          |
|    total_timesteps      | 917504       |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0070325965 |
|    clip_fraction        | 0.316        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.1         |
|    explained_variance   | 0.468        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.99         |
|    n_updates            | 60           |
|    policy_gradient_loss | 0.00412      |
|    std                  | 0.0506       |
|    value_loss           | 0.595        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 564          |
|    ep_rew_mean          | 21.8         |
| time/                   |              |
|    fps                  | 2139         |
|    iterations           | 8            |
|    time_elapsed         | 490          |
|    total_timesteps      | 1048576      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0067676683 |
|    clip_fraction        | 0.306        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39           |
|    explained_variance   | 0.555        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.979        |
|    n_updates            | 70           |
|    policy_gradient_loss | 0.00361      |
|    std                  | 0.0508       |
|    value_loss           | 0.593        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 572         |
|    ep_rew_mean          | 22.4        |
| time/                   |             |
|    fps                  | 2120        |
|    iterations           | 9           |
|    time_elapsed         | 556         |
|    total_timesteps      | 1179648     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.006508592 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 39          |
|    explained_variance   | 0.612       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.939       |
|    n_updates            | 80          |
|    policy_gradient_loss | 0.0037      |
|    std                  | 0.0509      |
|    value_loss           | 0.563       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 531          |
|    ep_rew_mean          | 20.8         |
| time/                   |              |
|    fps                  | 2107         |
|    iterations           | 10           |
|    time_elapsed         | 621          |
|    total_timesteps      | 1310720      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0066169733 |
|    clip_fraction        | 0.306        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 38.9         |
|    explained_variance   | 0.678        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.874        |
|    n_updates            | 90           |
|    policy_gradient_loss | 0.00352      |
|    std                  | 0.0511       |
|    value_loss           | 0.499        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 531         |
|    ep_rew_mean          | 20.8        |
| time/                   |             |
|    fps                  | 2092        |
|    iterations           | 11          |
|    time_elapsed         | 688         |
|    total_timesteps      | 1441792     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.006730186 |
|    clip_fraction        | 0.305       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 38.8        |
|    explained_variance   | 0.715       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.848       |
|    n_updates            | 100         |
|    policy_gradient_loss | 0.00333     |
|    std                  | 0.0512      |
|    value_loss           | 0.471       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 502         |
|    ep_rew_mean          | 19.6        |
| time/                   |             |
|    fps                  | 2079        |
|    iterations           | 12          |
|    time_elapsed         | 756         |
|    total_timesteps      | 1572864     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.006831563 |
|    clip_fraction        | 0.304       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 38.7        |
|    explained_variance   | 0.772       |
|    learning_rate        | 5e-05       |
|    loss                 | 0.817       |
|    n_updates            | 110         |
|    policy_gradient_loss | 0.00337     |
|    std                  | 0.0514      |
|    value_loss           | 0.43        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 478          |
|    ep_rew_mean          | 18.7         |
| time/                   |              |
|    fps                  | 2069         |
|    iterations           | 13           |
|    time_elapsed         | 823          |
|    total_timesteps      | 1703936      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0065672267 |
|    clip_fraction        | 0.303        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 38.7         |
|    explained_variance   | 0.803        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.807        |
|    n_updates            | 120          |
|    policy_gradient_loss | 0.00313      |
|    std                  | 0.0516       |
|    value_loss           | 0.417        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 512         |
|    ep_rew_mean          | 20.1        |
| time/                   |             |
|    fps                  | 2064        |
|    iterations           | 14          |
|    time_elapsed         | 888         |
|    total_timesteps      | 1835008     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
|    approx_kl            | 0.006642337 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 38.6        |
|    explained_variance   | 0.82        |
|    learning_rate        | 5e-05       |
|    loss                 | 0.755       |
|    n_updates            | 130         |
|    policy_gradient_loss | 0.00291     |
|    std                  | 0.0517      |
|    value_loss           | 0.392       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 490          |
|    ep_rew_mean          | 18.8         |
| time/                   |              |
|    fps                  | 2061         |
|    iterations           | 15           |
|    time_elapsed         | 953          |
|    total_timesteps      | 1966080      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0065568155 |
|    clip_fraction        | 0.296        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 38.5         |
|    explained_variance   | 0.827        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.749        |
|    n_updates            | 140          |
|    policy_gradient_loss | 0.00319      |
|    std                  | 0.0519       |
|    value_loss           | 0.391        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 437          |
|    ep_rew_mean          | 17.1         |
| time/                   |              |
|    fps                  | 2056         |
|    iterations           | 16           |
|    time_elapsed         | 1019         |
|    total_timesteps      | 2097152      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0064554927 |
|    clip_fraction        | 0.296        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 38.4         |
|    explained_variance   | 0.835        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.761        |
|    n_updates            | 150          |
|    policy_gradient_loss | 0.00321      |
|    std                  | 0.052        |
|    value_loss           | 0.378        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 441          |
|    ep_rew_mean          | 17.3         |
| time/                   |              |
|    fps                  | 2053         |
|    iterations           | 17           |
|    time_elapsed         | 1085         |
|    total_timesteps      | 2228224      |
| train/                  |              |
|    adaptive_lr          | 5e-05        |
|    approx_kl            | 0.0064654294 |
|    clip_fraction        | 0.298        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 38.4         |
|    explained_variance   | 0.847        |
|    learning_rate        | 5e-05        |
|    loss                 | 0.782        |
|    n_updates            | 160          |
|    policy_gradient_loss | 0.00274      |
|    std                  | 0.0522       |
|    value_loss           | 0.392        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 480         |
|    ep_rew_mean          | 18.1        |
| time/                   |             |
|    fps                  | 2050        |
|    iterations           | 18          |
|    time_elapsed         | 1150        |
|    total_timesteps      | 2359296     |
| train/                  |             |
|    adaptive_lr          | 5e-05       |
