Logging to /app/envpool/data/beta/20260822_stage1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 295      |
|    ep_rew_mean     | 28.7     |
| time/              |          |
|    fps             | 4125     |
|    iterations      | 1        |
|    time_elapsed    | 31       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 987          |
|    ep_rew_mean          | 61.3         |
| time/                   |              |
|    fps                  | 3194         |
|    iterations           | 2            |
|    time_elapsed         | 82           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0035771448 |
|    clip_fraction        | 0.149        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.8         |
|    explained_variance   | -0.0172      |
|    learning_rate        | 1e-05        |
|    loss                 | 5.27         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000587    |
|    std                  | 0.0502       |
|    value_loss           | 2.76         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 666         |
|    ep_rew_mean          | 25.4        |
| time/                   |             |
|    fps                  | 2979        |
|    iterations           | 3           |
|    time_elapsed         | 131         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.003001398 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.6        |
|    explained_variance   | -0.155      |
|    learning_rate        | 1e-05       |
|    loss                 | 2.68        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00202    |
|    std                  | 0.0506      |
|    value_loss           | 0.84        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 887         |
|    ep_rew_mean          | 35.8        |
| time/                   |             |
|    fps                  | 2880        |
|    iterations           | 4           |
|    time_elapsed         | 182         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.003128619 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.4        |
|    explained_variance   | -0.335      |
|    learning_rate        | 1e-05       |
|    loss                 | 2.6         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0021     |
|    std                  | 0.051       |
|    value_loss           | 0.819       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 733          |
|    ep_rew_mean          | 29.6         |
| time/                   |              |
|    fps                  | 2822         |
|    iterations           | 5            |
|    time_elapsed         | 232          |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0031018052 |
|    clip_fraction        | 0.13         |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.2         |
|    explained_variance   | -0.115       |
|    learning_rate        | 1e-05        |
|    loss                 | 2.63         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00181     |
|    std                  | 0.0514       |
|    value_loss           | 0.798        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 767         |
|    ep_rew_mean          | 31.7        |
| time/                   |             |
|    fps                  | 2776        |
|    iterations           | 6           |
|    time_elapsed         | 283         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.003162084 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.1        |
|    explained_variance   | 0.0632      |
|    learning_rate        | 1e-05       |
|    loss                 | 2.57        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.002      |
|    std                  | 0.0519      |
|    value_loss           | 0.754       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 739          |
|    ep_rew_mean          | 30.3         |
| time/                   |              |
|    fps                  | 2747         |
|    iterations           | 7            |
