Logging to ./data/gamma5/tb
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 510      |
|    ep_rew_mean     | 41.6     |
| time/              |          |
|    fps             | 13482    |
|    iterations      | 1        |
|    time_elapsed    | 9        |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 936          |
|    ep_rew_mean          | 55.7         |
| time/                   |              |
|    fps                  | 9612         |
|    iterations           | 2            |
|    time_elapsed         | 27           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0023366115 |
|    clip_fraction        | 0.116        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.5         |
|    explained_variance   | -0.122       |
|    learning_rate        | 1e-05        |
|    loss                 | 3.65         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0013      |
|    std                  | 0.0499       |
|    value_loss           | 2.78         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 608          |
|    ep_rew_mean          | 24.9         |
| time/                   |              |
|    fps                  | 8873         |
|    iterations           | 3            |
|    time_elapsed         | 44           |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0021705949 |
|    clip_fraction        | 0.103        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.4         |
|    explained_variance   | 0.0441       |
|    learning_rate        | 1e-05        |
|    loss                 | 1.49         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00263     |
|    std                  | 0.05         |
|    value_loss           | 1.15         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 804          |
|    ep_rew_mean          | 33.7         |
| time/                   |              |
|    fps                  | 8515         |
|    iterations           | 4            |
|    time_elapsed         | 61           |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0021861065 |
|    clip_fraction        | 0.102        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.4         |
|    explained_variance   | 0.167        |
|    learning_rate        | 1e-05        |
|    loss                 | 1.44         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00246     |
|    std                  | 0.0501       |
|    value_loss           | 1.1          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 816        |
|    ep_rew_mean          | 35         |
| time/                   |            |
|    fps                  | 8331       |
|    iterations           | 5          |
|    time_elapsed         | 78         |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.00215072 |
|    clip_fraction        | 0.103      |
|    clip_range           | 0.1        |
|    clip_range_vf        | 0.2        |
|    entropy_loss         | 39.3       |
|    explained_variance   | 0.158      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.37       |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.00263   |
|    std                  | 0.0502     |
|    value_loss           | 0.995      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 753          |
|    ep_rew_mean          | 33.5         |
| time/                   |              |
|    fps                  | 8199         |
|    iterations           | 6            |
|    time_elapsed         | 95           |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0021375432 |
|    clip_fraction        | 0.104        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 39.3         |
|    explained_variance   | 0.234        |
|    learning_rate        | 1e-05        |
|    loss                 | 1.31         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00216     |
|    std                  | 0.0503       |
|    value_loss           | 0.952        |
