Logging to data/tb_logs/20251203_191730
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 233      |
|    ep_rew_mean     | 23.4     |
| time/              |          |
|    fps             | 9058     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 391          |
|    ep_rew_mean          | 26.4         |
| time/                   |              |
|    fps                  | 6628         |
|    iterations           | 2            |
|    time_elapsed         | 4            |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0032512061 |
|    clip_fraction        | 0.15         |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 36.4         |
|    explained_variance   | -0.0713      |
|    learning_rate        | 1e-05        |
|    loss                 | 4.71         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00908     |
|    std                  | 0.0498       |
|    value_loss           | 3.03         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 23          |
| time/                   |             |
|    fps                  | 5825        |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.002894708 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 36.3        |
|    explained_variance   | -0.237      |
|    learning_rate        | 1e-05       |
|    loss                 | 2.43        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00988    |
|    std                  | 0.0499      |
|    value_loss           | 0.715       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 502          |
|    ep_rew_mean          | 20.9         |
| time/                   |              |
|    fps                  | 5479         |
|    iterations           | 4            |
|    time_elapsed         | 11           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0030283406 |
|    clip_fraction        | 0.136        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 36.3         |
|    explained_variance   | 0.105        |
|    learning_rate        | 1e-05        |
|    loss                 | 2.53         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0107      |
|    std                  | 0.05         |
|    value_loss           | 0.778        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 599          |
|    ep_rew_mean          | 21.7         |
| time/                   |              |
|    fps                  | 5236         |
|    iterations           | 5            |
|    time_elapsed         | 15           |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0032728426 |
|    clip_fraction        | 0.143        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 36.3         |
|    explained_variance   | 0.193        |
|    learning_rate        | 1e-05        |
|    loss                 | 2.47         |
