Logging to data/tb_logs/20260727_161135
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 132      |
|    ep_rew_mean     | 5.42     |
| time/              |          |
|    fps             | 10741    |
|    iterations      | 1        |
|    time_elapsed    | 12       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 139          |
|    ep_rew_mean          | 5.65         |
| time/                   |              |
|    fps                  | 9536         |
|    iterations           | 2            |
|    time_elapsed         | 27           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0034019775 |
|    clip_fraction        | 0.145        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.8         |
|    explained_variance   | -0.127       |
|    learning_rate        | 1e-05        |
|    loss                 | 5.24         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00123     |
|    std                  | 0.0502       |
|    value_loss           | 2.71         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | 5.68        |
| time/                   |             |
|    fps                  | 9236        |
|    iterations           | 3           |
|    time_elapsed         | 42          |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.003066877 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.6        |
|    explained_variance   | -0.0102     |
|    learning_rate        | 1e-05       |
|    loss                 | 2.74        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00156    |
|    std                  | 0.0506      |
|    value_loss           | 0.881       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 138          |
|    ep_rew_mean          | 5.62         |
| time/                   |              |
|    fps                  | 9040         |
|    iterations           | 4            |
|    time_elapsed         | 57           |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0031235074 |
|    clip_fraction        | 0.136        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.5         |
|    explained_variance   | 0.23         |
|    learning_rate        | 1e-05        |
|    loss                 | 2.64         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00158     |
|    std                  | 0.051        |
|    value_loss           | 0.767        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 133         |
|    ep_rew_mean          | 5.54        |
| time/                   |             |
|    fps                  | 8995        |
|    iterations           | 5           |
|    time_elapsed         | 72          |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.003077101 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 37.3        |
|    explained_variance   | 0.341       |
|    learning_rate        | 1e-05       |
|    loss                 | 2.58        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00137    |
|    std                  | 0.0514      |
|    value_loss           | 0.688       |
-----------------------------------------
