Logging to data/beta2/20260825_stage1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 376      |
|    ep_rew_mean     | 16.1     |
| time/              |          |
|    fps             | 4100     |
|    iterations      | 1        |
|    time_elapsed    | 31       |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | 45           |
| time/                   |              |
|    fps                  | 3201         |
|    iterations           | 2            |
|    time_elapsed         | 81           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0026928736 |
|    clip_fraction        | 0.0988       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 1.04         |
|    explained_variance   | 0.82         |
|    learning_rate        | 1e-05        |
|    loss                 | 0.156        |
|    n_updates            | 2700         |
|    policy_gradient_loss | -0.00313     |
|    std                  | 0.233        |
|    value_loss           | 0.144        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 910          |
|    ep_rew_mean          | 40.8         |
| time/                   |              |
|    fps                  | 2999         |
|    iterations           | 3            |
|    time_elapsed         | 131          |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0028319082 |
|    clip_fraction        | 0.096        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 0.847        |
|    explained_variance   | 0.533        |
|    learning_rate        | 1e-05        |
|    loss                 | 1.25         |
|    n_updates            | 2710         |
|    policy_gradient_loss | -0.00219     |
|    std                  | 0.235        |
|    value_loss           | 1.22         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | 44.9         |
| time/                   |              |
|    fps                  | 2887         |
|    iterations           | 4            |
|    time_elapsed         | 181          |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0030458749 |
|    clip_fraction        | 0.106        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 0.641        |
|    explained_variance   | 0.771        |
|    learning_rate        | 1e-05        |
|    loss                 | 0.355        |
|    n_updates            | 2720         |
|    policy_gradient_loss | -0.00253     |
|    std                  | 0.237        |
|    value_loss           | 0.29         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 822         |
|    ep_rew_mean          | 36.1        |
| time/                   |             |
|    fps                  | 2805        |
|    iterations           | 5           |
|    time_elapsed         | 233         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.002772283 |
|    clip_fraction        | 0.0963      |
|    clip_range           | 0.1         |
|    clip_range_vf        | 0.2         |
|    entropy_loss         | 0.44        |
|    explained_variance   | 0.716       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.24        |
|    n_updates            | 2730        |
|    policy_gradient_loss | -0.00246    |
|    std                  | 0.238       |
|    value_loss           | 0.992       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 948          |
|    ep_rew_mean          | 42.2         |
| time/                   |              |
|    fps                  | 2760         |
|    iterations           | 6            |
|    time_elapsed         | 284          |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0028795875 |
|    clip_fraction        | 0.0981       |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 0.239        |
