Logging to data/tb_logs/20260804_155809
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 414      |
|    ep_rew_mean     | 36.3     |
| time/              |          |
|    fps             | 14638    |
|    iterations      | 1        |
|    time_elapsed    | 8        |
|    total_timesteps | 131072   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 555          |
|    ep_rew_mean          | 25           |
| time/                   |              |
|    fps                  | 12541        |
|    iterations           | 2            |
|    time_elapsed         | 20           |
|    total_timesteps      | 262144       |
| train/                  |              |
|    approx_kl            | 0.0035354628 |
|    clip_fraction        | 0.147        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.8         |
|    explained_variance   | -0.0528      |
|    learning_rate        | 1e-05        |
|    loss                 | 5.18         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00114     |
|    std                  | 0.0502       |
|    value_loss           | 2.81         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 447          |
|    ep_rew_mean          | 18.7         |
| time/                   |              |
|    fps                  | 11913        |
|    iterations           | 3            |
|    time_elapsed         | 33           |
|    total_timesteps      | 393216       |
| train/                  |              |
|    approx_kl            | 0.0031471471 |
|    clip_fraction        | 0.13         |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.6         |
|    explained_variance   | -0.217       |
|    learning_rate        | 1e-05        |
|    loss                 | 2.84         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0022      |
|    std                  | 0.0506       |
|    value_loss           | 1.02         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 540          |
|    ep_rew_mean          | 22.7         |
| time/                   |              |
|    fps                  | 11721        |
|    iterations           | 4            |
|    time_elapsed         | 44           |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0032531326 |
|    clip_fraction        | 0.133        |
|    clip_range           | 0.1          |
|    clip_range_vf        | 0.2          |
|    entropy_loss         | 37.4         |
|    explained_variance   | -0.0621      |
|    learning_rate        | 1e-05        |
|    loss                 | 2.77         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00253     |
